ClaimNumber,PolicyNumber, ClaimAmount ,LossDate,ReportDate
C900000,P100096,2870,1/17/2014,2/4/2014
C900001,P100432,6262,2/23/2014,2/24/2014
C900002,P100427,6327,2/25/2014,3/6/2014
C900003,P100714,867,2/24/2014,3/20/2014
C900004,P100032,12898,4/4/2014,4/6/2014
C900005,P100244,616,2/26/2014,4/11/2014
C900006,P100312,3252,4/13/2014,4/21/2014
C900007,P101344,2946,4/14/2014,4/21/2014
C900008,P100774,36,3/8/2014,4/23/2014
C900009,P100559,2191,2/26/2014,4/23/2014
C900010,P100418,1557,4/23/2014,4/24/2014
C900011,P100635,1767,3/14/2014,4/24/2014
C900012,P100643,2349,3/1/2014,4/30/2014
C900013,P101449,7857,4/23/2014,5/4/2014
C900014,P101560,5217,5/9/2014,5/15/2014
C900015,P100458,994,4/6/2014,5/15/2014
C900016,P100597,2446,3/20/2014,5/15/2014
C900017,P100025,5497,2/24/2014,5/16/2014
C900018,P100296,16282,1/25/2014,5/21/2014
C900019,P101046,901,4/6/2014,5/22/2014
C900020,P100269,9212,5/8/2014,5/25/2014
C900021,P100133,1562,3/10/2014,5/26/2014
C900022,P100069,28920,3/31/2014,5/27/2014
C900023,P100913,1861,5/17/2014,5/27/2014
C900024,P100093,10779,2/17/2014,5/30/2014
C900025,P101049,799,3/30/2014,6/3/2014
C900026,P100976,1702,5/27/2014,6/6/2014
C900027,P101382,13853,4/26/2014,6/11/2014
C900028,P100798,8734,4/11/2014,6/12/2014
C900029,P100427,7470,2/3/2014,6/15/2014
C900030,P101430,1783,5/22/2014,6/15/2014
C900031,P101698,11893,6/4/2014,6/19/2014
C900032,P101000,5162,5/29/2014,6/22/2014
C900033,P100785,2973,3/21/2014,6/23/2014
C900034,P100606,11299,4/7/2014,6/25/2014
C900035,P100357,4679,6/15/2014,6/26/2014
C900036,P100069,7492,6/1/2014,6/27/2014
C900037,P101651,308,6/9/2014,7/2/2014
C900038,P102071,9121,6/9/2014,7/2/2014
C900039,P101804,1740,5/27/2014,7/5/2014
C900040,P100669,3093,7/3/2014,7/6/2014
C900041,P101151,8309,5/6/2014,7/7/2014
C900042,P101311,2691,5/3/2014,7/7/2014
C900043,P100236,6701,1/18/2014,7/9/2014
C900044,P101070,8952,5/2/2014,7/11/2014
C900045,P101014,2986,6/9/2014,7/13/2014
C900046,P100148,7153,5/28/2014,7/13/2014
C900047,P100532,5753,5/31/2014,7/17/2014
C900048,P101193,6067,6/15/2014,7/18/2014
C900049,P101552,745,5/21/2014,7/20/2014
C900050,P102034,14868,6/25/2014,7/21/2014
C900051,P102428,4438,7/11/2014,7/21/2014
C900052,P102645,3110,7/22/2014,7/22/2014
C900053,P102218,967,7/8/2014,7/22/2014
C900054,P100161,2390,7/6/2014,7/25/2014
C900055,P100790,22,6/22/2014,7/25/2014
C900056,P100712,2613,4/2/2014,7/28/2014
C900057,P100321,917,2/14/2014,7/29/2014
C900058,P100810,232,5/22/2014,7/30/2014
C900059,P100162,2387,5/4/2014,7/30/2014
C900060,P100735,2421,7/8/2014,7/30/2014
C900061,P100895,2398,5/29/2014,7/31/2014
C900062,P100610,142,5/29/2014,8/3/2014
C900063,P102367,1506,7/20/2014,8/3/2014
C900064,P102643,7714,8/3/2014,8/4/2014
C900065,P101364,5663,7/6/2014,8/5/2014
C900066,P101267,1878,8/1/2014,8/5/2014
C900067,P101953,5191,6/26/2014,8/12/2014
C900068,P100304,1932,7/1/2014,8/12/2014
C900069,P101763,10574,8/12/2014,8/14/2014
C900070,P101853,520,7/16/2014,8/17/2014
C900071,P101250,3861,4/10/2014,8/17/2014
C900072,P101779,7610,8/17/2014,8/20/2014
C900073,P101540,8275,8/5/2014,8/20/2014
C900074,P101450,3976,7/18/2014,8/20/2014
C900075,P101479,5375,6/2/2014,8/22/2014
C900076,P101028,1918,7/18/2014,8/28/2014
C900077,P100123,11215,4/11/2014,8/29/2014
C900078,P102165,3487,8/28/2014,8/30/2014
C900079,P101894,1171,6/16/2014,8/30/2014
C900080,P100090,10666,7/8/2014,8/31/2014
C900081,P101197,4084,6/7/2014,8/31/2014
C900082,P100497,4072,8/12/2014,9/2/2014
C900083,P100232,1265,1/23/2014,9/3/2014
C900084,P100960,10797,8/3/2014,9/5/2014
C900085,P101153,4619,6/25/2014,9/5/2014
C900086,P102669,7142,8/23/2014,9/6/2014
C900087,P102703,11682,7/28/2014,9/6/2014
C900088,P100853,9217,7/17/2014,9/6/2014
C900089,P100292,3799,2/1/2014,9/7/2014
C900090,P100768,2059,3/27/2014,9/8/2014
C900091,P101646,25292,8/13/2014,9/10/2014
C900092,P100707,398,8/3/2014,9/11/2014
C900093,P100214,4854,2/16/2014,9/12/2014
C900094,P101241,2002,6/6/2014,9/12/2014
C900095,P100161,16648,7/16/2014,9/13/2014
C900096,P102638,5698,8/15/2014,9/13/2014
C900097,P100310,4961,1/24/2014,9/14/2014
C900098,P101210,3080,8/22/2014,9/15/2014
C900099,P100179,6622,3/11/2014,9/17/2014
C900100,P100165,736,3/30/2014,9/18/2014
C900101,P100990,10757,6/21/2014,9/19/2014
C900102,P101694,95,7/16/2014,9/19/2014
C900103,P101484,5495,5/14/2014,9/19/2014
C900104,P100554,833,8/28/2014,9/20/2014
C900105,P101535,16169,7/5/2014,9/21/2014
C900106,P102291,2156,9/21/2014,9/21/2014
C900107,P101330,20475,9/15/2014,9/21/2014
C900108,P102421,3552,9/5/2014,9/25/2014
C900109,P101793,11093,7/27/2014,9/25/2014
C900110,P101374,3351,8/12/2014,9/25/2014
C900111,P102559,79,8/4/2014,9/25/2014
C900112,P100016,950,9/20/2014,9/25/2014
C900113,P100153,8349,6/18/2014,9/25/2014
C900114,P100615,4115,2/22/2014,9/28/2014
C900115,P101085,19203,7/8/2014,9/28/2014
C900116,P100586,8595,9/12/2014,9/28/2014
C900117,P102162,2894,7/8/2014,9/28/2014
C900118,P100453,3389,6/5/2014,9/28/2014
C900119,P102231,1546,8/2/2014,9/30/2014
C900120,P100841,5498,9/17/2014,10/1/2014
C900121,P102002,3737,6/28/2014,10/1/2014
C900122,P100146,9033,2/24/2014,10/1/2014
C900123,P101067,3955,8/4/2014,10/3/2014
C900124,P100167,4430,3/8/2014,10/4/2014
C900125,P102752,3603,8/11/2014,10/5/2014
C900126,P100121,16911,9/9/2014,10/6/2014
C900127,P101578,2610,9/2/2014,10/8/2014
C900128,P100438,4397,4/23/2014,10/8/2014
C900129,P102490,3681,8/10/2014,10/8/2014
C900130,P101626,13672,8/22/2014,10/8/2014
C900131,P100335,6856,6/3/2014,10/9/2014
C900132,P100682,4657,6/4/2014,10/9/2014
C900133,P101547,652,9/22/2014,10/10/2014
C900134,P101995,345,7/9/2014,10/11/2014
C900135,P103644,1914,10/13/2014,10/13/2014
C900136,P101459,1657,4/30/2014,10/13/2014
C900137,P100751,2299,6/30/2014,10/18/2014
C900138,P100487,1009,10/16/2014,10/18/2014
C900139,P101196,9220,7/18/2014,10/19/2014
C900140,P101589,3371,6/21/2014,10/20/2014
C900141,P101847,1221,10/15/2014,10/20/2014
C900142,P100331,3392,10/13/2014,10/20/2014
C900143,P101578,12439,8/14/2014,10/21/2014
C900144,P102046,18258,8/30/2014,10/21/2014
C900145,P101385,7870,5/20/2014,10/22/2014
C900146,P102933,5666,9/18/2014,10/22/2014
C900147,P100438,9669,9/6/2014,10/24/2014
C900148,P100133,648,1/18/2014,10/24/2014
C900149,P103040,10799,9/30/2014,10/24/2014
C900150,P100745,7958,5/7/2014,10/25/2014
C900151,P103509,20710,10/9/2014,10/25/2014
C900152,P103363,7540,10/6/2014,10/26/2014
C900153,P100046,20726,1/25/2014,10/26/2014
C900154,P101864,3726,8/7/2014,10/30/2014
C900155,P101087,1803,5/14/2014,11/1/2014
C900156,P101627,7629,5/17/2014,11/1/2014
C900157,P102132,737,9/1/2014,11/2/2014
C900158,P101236,986,6/17/2014,11/2/2014
C900159,P101780,2555,6/23/2014,11/3/2014
C900160,P101339,409,5/30/2014,11/3/2014
C900161,P101239,12099,11/1/2014,11/5/2014
C900162,P102666,1677,8/23/2014,11/5/2014
C900163,P100697,1659,5/24/2014,11/5/2014
C900164,P100385,1105,7/27/2014,11/6/2014
C900165,P100291,5766,8/15/2014,11/7/2014
C900166,P100989,9790,7/7/2014,11/7/2014
C900167,P101442,1120,8/23/2014,11/8/2014
C900168,P100687,5925,8/23/2014,11/10/2014
C900169,P100609,6457,11/8/2014,11/11/2014
C900170,P100776,1988,5/25/2014,11/11/2014
C900171,P102440,143,10/16/2014,11/11/2014
C900172,P102849,6394,8/9/2014,11/12/2014
C900173,P102921,1916,11/2/2014,11/13/2014
C900174,P103096,167,8/27/2014,11/14/2014
C900175,P100399,10480,8/2/2014,11/14/2014
C900176,P101417,4186,7/3/2014,11/14/2014
C900177,P102309,2673,8/29/2014,11/14/2014
C900178,P102289,2322,8/28/2014,11/15/2014
C900179,P101224,8032,6/3/2014,11/16/2014
C900180,P100002,3308,7/29/2014,11/17/2014
C900181,P101057,11682,9/14/2014,11/17/2014
C900182,P100201,10686,2/24/2014,11/18/2014
C900183,P101455,6212,7/8/2014,11/18/2014
C900184,P100992,6901,6/6/2014,11/19/2014
C900185,P100645,1259,10/5/2014,11/19/2014
C900186,P103825,7943,11/14/2014,11/19/2014
C900187,P102147,4461,7/25/2014,11/20/2014
C900188,P102455,4843,7/20/2014,11/20/2014
C900189,P102697,1191,10/7/2014,11/20/2014
C900190,P101743,332,11/4/2014,11/21/2014
C900191,P102035,6373,8/24/2014,11/21/2014
C900192,P102586,16353,10/17/2014,11/21/2014
