PolicyNumber,PolicyStartDate,DrivingFrequency,County
P100000,1/1/2014,Low,Orange
P100001,1/1/2014,High,Ventura
P100002,1/1/2014,Medium,Los Angeles
P100003,1/1/2014,High,San Bernadino
P100004,1/1/2014,Medium,Los Angeles
P100005,1/1/2014,Low,San Bernadino
P100006,1/1/2014,Medium,Los Angeles
P100007,1/1/2014,Low,Orange
P100008,1/1/2014,Medium,Los Angeles
P100009,1/1/2014,Medium,Orange
P100010,1/1/2014,High,Los Angeles
P100011,1/1/2014,High,Los Angeles
P100012,1/1/2014,Low,Ventura
P100013,1/1/2014,High,Ventura
P100014,1/1/2014,Medium,San Bernadino
P100015,1/1/2014,High,Riverside
P100016,1/1/2014,High,Riverside
P100017,1/1/2014,Medium,San Bernadino
P100018,1/1/2014,Low,Ventura
P100019,1/1/2014,Medium,San Bernadino
P100020,1/1/2014,High,Los Angeles
P100021,1/1/2014,High,San Bernadino
P100022,1/1/2014,High,Los Angeles
P100023,1/2/2014,Medium,Orange
P100024,1/2/2014,Medium,Los Angeles
P100025,1/2/2014,High,Riverside
P100026,1/2/2014,Low,Los Angeles
P100027,1/2/2014,Medium,Los Angeles
P100028,1/2/2014,High,Riverside
P100029,1/2/2014,Medium,Ventura
P100030,1/2/2014,High,San Bernadino
P100031,1/2/2014,High,Orange
P100032,1/2/2014,Medium,Los Angeles
P100033,1/2/2014,Low,San Bernadino
P100034,1/2/2014,High,San Bernadino
P100035,1/2/2014,High,Ventura
P100036,1/2/2014,High,Riverside
P100037,1/2/2014,High,San Bernadino
P100038,1/3/2014,High,Los Angeles
P100039,1/3/2014,Medium,Los Angeles
P100040,1/3/2014,High,Los Angeles
P100041,1/3/2014,High,Los Angeles
P100042,1/3/2014,Low,Los Angeles
P100043,1/3/2014,Medium,Los Angeles
P100044,1/3/2014,Medium,Ventura
P100045,1/3/2014,High,San Bernadino
P100046,1/3/2014,Medium,Riverside
P100047,1/3/2014,High,Ventura
P100048,1/3/2014,Medium,Orange
P100049,1/4/2014,High,Riverside
P100050,1/4/2014,High,Orange
P100051,1/4/2014,Medium,Riverside
P100052,1/4/2014,Medium,Ventura
P100053,1/4/2014,High,San Bernadino
P100054,1/4/2014,Medium,San Bernadino
P100055,1/4/2014,Low,Los Angeles
P100056,1/4/2014,Low,Los Angeles
P100057,1/4/2014,Medium,Ventura
P100058,1/4/2014,Low,San Bernadino
P100059,1/5/2014,Medium,Riverside
P100060,1/5/2014,Medium,Ventura
P100061,1/5/2014,Medium,San Bernadino
P100062,1/5/2014,High,San Bernadino
P100063,1/5/2014,Low,Los Angeles
P100064,1/5/2014,High,Riverside
P100065,1/5/2014,High,San Bernadino
P100066,1/5/2014,Medium,Orange
P100067,1/5/2014,High,San Bernadino
P100068,1/5/2014,High,Riverside
P100069,1/5/2014,High,Ventura
P100070,1/5/2014,High,Los Angeles
P100071,1/5/2014,High,Ventura
P100072,1/5/2014,High,Los Angeles
P100073,1/5/2014,Low,Orange
P100074,1/5/2014,High,Orange
P100075,1/5/2014,Medium,Orange
P100076,1/6/2014,High,Ventura
P100077,1/6/2014,Low,San Bernadino
P100078,1/6/2014,Medium,Orange
P100079,1/6/2014,High,Los Angeles
P100080,1/6/2014,High,Riverside
P100081,1/6/2014,High,Riverside
P100082,1/6/2014,Medium,San Bernadino
P100083,1/6/2014,High,Los Angeles
P100084,1/6/2014,Low,Ventura
P100085,1/6/2014,High,Los Angeles
P100086,1/6/2014,High,Ventura
P100087,1/6/2014,Medium,Los Angeles
P100088,1/6/2014,High,Orange
P100089,1/6/2014,High,Ventura
P100090,1/6/2014,High,San Bernadino
P100091,1/6/2014,High,San Bernadino
P100092,1/6/2014,Medium,Los Angeles
P100093,1/6/2014,High,Riverside
P100094,1/6/2014,Medium,Riverside
P100095,1/7/2014,Medium,Ventura
P100096,1/7/2014,Low,San Bernadino
P100097,1/7/2014,Medium,San Bernadino
P100098,1/7/2014,High,Los Angeles
P100099,1/7/2014,High,Orange
P100100,1/7/2014,Low,Los Angeles
P100101,1/7/2014,High,Los Angeles
P100102,1/7/2014,High,Riverside
P100103,1/7/2014,High,San Bernadino
P100104,1/7/2014,High,Los Angeles
P100105,1/7/2014,High,Los Angeles
P100106,1/7/2014,High,San Bernadino
P100107,1/7/2014,High,San Bernadino
P100108,1/7/2014,High,Ventura
P100109,1/7/2014,Low,Los Angeles
P100110,1/7/2014,High,Los Angeles
P100111,1/7/2014,High,Los Angeles
P100112,1/7/2014,Medium,Los Angeles
P100113,1/7/2014,High,Orange
P100114,1/7/2014,Medium,Los Angeles
P100115,1/8/2014,Low,Los Angeles
P100116,1/8/2014,High,Los Angeles
P100117,1/8/2014,High,San Bernadino
P100118,1/8/2014,High,Los Angeles
P100119,1/8/2014,High,San Bernadino
P100120,1/8/2014,High,Ventura
P100121,1/8/2014,High,Los Angeles
P100122,1/8/2014,High,Ventura
P100123,1/8/2014,Low,Los Angeles
P100124,1/8/2014,Medium,Riverside
P100125,1/8/2014,Low,Riverside
P100126,1/8/2014,High,San Bernadino
P100127,1/8/2014,High,Los Angeles
P100128,1/8/2014,High,Riverside
P100129,1/9/2014,Medium,Los Angeles
P100130,1/9/2014,High,Ventura
P100131,1/9/2014,Low,Ventura
P100132,1/9/2014,Medium,Orange
P100133,1/9/2014,Low,Los Angeles
P100134,1/9/2014,Low,Orange
P100135,1/9/2014,Low,Riverside
P100136,1/9/2014,High,Los Angeles
P100137,1/9/2014,High,Riverside
P100138,1/9/2014,High,Los Angeles
P100139,1/9/2014,Low,San Bernadino
P100140,1/9/2014,Low,Riverside
P100141,1/10/2014,High,Riverside
P100142,1/10/2014,High,Ventura
P100143,1/10/2014,Medium,San Bernadino
P100144,1/10/2014,Low,Los Angeles
P100145,1/10/2014,Medium,Orange
P100146,1/10/2014,High,Los Angeles
P100147,1/10/2014,Low,San Bernadino
P100148,1/10/2014,High,Los Angeles
P100149,1/11/2014,Medium,San Bernadino
P100150,1/11/2014,Medium,Ventura
P100151,1/11/2014,High,Ventura
P100152,1/11/2014,Low,Ventura
P100153,1/11/2014,High,Los Angeles
P100154,1/11/2014,High,Ventura
P100155,1/11/2014,Medium,San Bernadino
P100156,1/11/2014,Medium,Los Angeles
P100157,1/11/2014,High,Los Angeles
P100158,1/11/2014,Medium,Los Angeles
P100159,1/11/2014,Low,Los Angeles
P100160,1/11/2014,High,Orange
P100161,1/11/2014,High,Los Angeles
P100162,1/11/2014,High,Riverside
P100163,1/11/2014,Medium,Ventura
P100164,1/11/2014,High,Riverside
P100165,1/11/2014,Medium,Los Angeles
P100166,1/12/2014,Medium,San Bernadino
P100167,1/12/2014,High,Ventura
P100168,1/12/2014,Low,San Bernadino
P100169,1/12/2014,Low,San Bernadino
P100170,1/12/2014,Medium,Los Angeles
P100171,1/12/2014,High,Ventura
P100172,1/12/2014,Medium,Riverside
P100173,1/12/2014,High,Los Angeles
P100174,1/13/2014,High,Riverside
P100175,1/13/2014,Medium,Ventura
P100176,1/13/2014,High,Riverside
P100177,1/13/2014,Medium,San Bernadino
P100178,1/13/2014,Low,Ventura
P100179,1/13/2014,Medium,Riverside
P100180,1/13/2014,Medium,Los Angeles
P100181,1/13/2014,Medium,Los Angeles
P100182,1/13/2014,Medium,Ventura
P100183,1/13/2014,Medium,San Bernadino
P100184,1/13/2014,Medium,Los Angeles
P100185,1/13/2014,High,Riverside
P100186,1/13/2014,Medium,Orange
P100187,1/13/2014,Medium,Los Angeles
P100188,1/14/2014,High,Los Angeles
P100189,1/14/2014,Low,San Bernadino
P100190,1/14/2014,High,Ventura
P100191,1/14/2014,Low,Riverside
P100192,1/14/2014,Medium,Los Angeles
P100193,1/14/2014,High,San Bernadino
P100194,1/14/2014,Low,Orange
P100195,1/14/2014,High,Los Angeles
P100196,1/14/2014,Medium,Los Angeles
P100197,1/15/2014,High,Orange
P100198,1/15/2014,Low,Orange
P100199,1/15/2014,Medium,Ventura
P100200,1/15/2014,Medium,Ventura
P100201,1/15/2014,Low,Orange
P100202,1/15/2014,Medium,Riverside
P100203,1/15/2014,High,Riverside
P100204,1/15/2014,Medium,Ventura
P100205,1/15/2014,High,San Bernadino
P100206,1/16/2014,Medium,Ventura
P100207,1/16/2014,Medium,Ventura
P100208,1/16/2014,Medium,San Bernadino
P100209,1/16/2014,Low,Ventura
P100210,1/16/2014,Medium,Ventura
P100211,1/16/2014,Medium,Ventura
P100212,1/16/2014,High,Los Angeles
P100213,1/16/2014,Low,Ventura
P100214,1/16/2014,Low,Los Angeles
P100215,1/16/2014,Low,Los Angeles
P100216,1/16/2014,Low,Riverside
P100217,1/16/2014,Medium,Ventura
P100218,1/16/2014,Low,San Bernadino
P100219,1/16/2014,Medium,Orange
P100220,1/16/2014,Low,Ventura
P100221,1/16/2014,High,Ventura
P100222,1/17/2014,Low,San Bernadino
P100223,1/17/2014,High,San Bernadino
P100224,1/17/2014,Low,Los Angeles
P100225,1/17/2014,High,Riverside
P100226,1/17/2014,High,San Bernadino
P100227,1/17/2014,High,San Bernadino
P100228,1/17/2014,Low,Riverside
P100229,1/17/2014,High,Riverside
P100230,1/17/2014,Medium,Ventura
P100231,1/17/2014,High,Los Angeles
P100232,1/18/2014,Medium,Ventura
P100233,1/18/2014,Medium,Los Angeles
P100234,1/18/2014,High,Riverside
P100235,1/18/2014,High,Ventura
P100236,1/18/2014,Medium,San Bernadino
P100237,1/18/2014,High,Ventura
P100238,1/18/2014,Low,Orange
P100239,1/18/2014,Low,Los Angeles
P100240,1/18/2014,High,Riverside
P100241,1/18/2014,Medium,San Bernadino
P100242,1/18/2014,High,Ventura
P100243,1/18/2014,High,Riverside
P100244,1/18/2014,High,Los Angeles
P100245,1/18/2014,Low,Riverside
P100246,1/18/2014,Low,Orange
P100247,1/19/2014,High,San Bernadino
P100248,1/19/2014,Medium,Riverside
P100249,1/19/2014,High,San Bernadino
P100250,1/19/2014,High,Los Angeles
P100251,1/19/2014,Low,Riverside
P100252,1/19/2014,High,Los Angeles
P100253,1/19/2014,Low,Riverside
P100254,1/19/2014,High,Los Angeles
P100255,1/19/2014,High,Los Angeles
P100256,1/19/2014,High,Riverside
P100257,1/19/2014,Low,Los Angeles
P100258,1/19/2014,Low,San Bernadino
P100259,1/19/2014,Medium,Orange
P100260,1/19/2014,Low,Los Angeles
P100261,1/19/2014,Low,San Bernadino
P100262,1/19/2014,High,Riverside
P100263,1/20/2014,Medium,Los Angeles
P100264,1/20/2014,Medium,Los Angeles
P100265,1/20/2014,Medium,Riverside
P100266,1/20/2014,High,San Bernadino
P100267,1/20/2014,Medium,Ventura
P100268,1/20/2014,High,San Bernadino
P100269,1/20/2014,Medium,San Bernadino
P100270,1/20/2014,High,Orange
P100271,1/20/2014,Medium,Los Angeles
P100272,1/20/2014,Low,Ventura
P100273,1/20/2014,High,Riverside
P100274,1/20/2014,High,Los Angeles
P100275,1/20/2014,Medium,Orange
P100276,1/20/2014,High,San Bernadino
P100277,1/20/2014,Low,Los Angeles
P100278,1/20/2014,High,Ventura
P100279,1/20/2014,High,San Bernadino
P100280,1/20/2014,Low,Los Angeles
P100281,1/21/2014,High,Riverside
P100282,1/21/2014,Low,Los Angeles
P100283,1/21/2014,High,Orange
P100284,1/21/2014,Medium,Riverside
P100285,1/21/2014,High,San Bernadino
P100286,1/21/2014,Medium,Riverside
P100287,1/21/2014,Low,San Bernadino
P100288,1/21/2014,Medium,Riverside
P100289,1/21/2014,Low,Ventura
P100290,1/21/2014,High,Los Angeles
P100291,1/21/2014,Medium,Orange
P100292,1/22/2014,Low,Ventura
P100293,1/22/2014,High,Riverside
P100294,1/22/2014,Low,Ventura
P100295,1/22/2014,High,Los Angeles
P100296,1/22/2014,Low,Riverside
P100297,1/22/2014,High,Riverside
P100298,1/22/2014,Medium,Riverside
P100299,1/22/2014,Low,San Bernadino
P100300,1/22/2014,Medium,Riverside
P100301,1/22/2014,High,San Bernadino
P100302,1/22/2014,Medium,San Bernadino
P100303,1/22/2014,High,San Bernadino
P100304,1/22/2014,High,Ventura
P100305,1/22/2014,High,Los Angeles
P100306,1/23/2014,Medium,Riverside
P100307,1/23/2014,Medium,Ventura
P100308,1/23/2014,High,Ventura
P100309,1/23/2014,High,Riverside
P100310,1/23/2014,High,Riverside
P100311,1/23/2014,High,San Bernadino
P100312,1/23/2014,Low,Ventura
P100313,1/23/2014,High,Orange
P100314,1/23/2014,High,Riverside
P100315,1/23/2014,Low,San Bernadino
P100316,1/23/2014,High,Orange
P100317,1/23/2014,High,Los Angeles
P100318,1/23/2014,Low,Los Angeles
P100319,1/23/2014,Medium,Los Angeles
P100320,1/24/2014,Medium,Los Angeles
P100321,1/24/2014,Low,San Bernadino
P100322,1/24/2014,Medium,Los Angeles
P100323,1/24/2014,Medium,Riverside
P100324,1/24/2014,Medium,Los Angeles
P100325,1/24/2014,Low,Ventura
P100326,1/24/2014,High,Ventura
P100327,1/24/2014,Medium,San Bernadino
P100328,1/24/2014,High,Riverside
P100329,1/24/2014,High,San Bernadino
P100330,1/24/2014,High,San Bernadino
P100331,1/24/2014,High,Ventura
P100332,1/25/2014,Medium,San Bernadino
P100333,1/25/2014,Low,Los Angeles
P100334,1/25/2014,Low,Orange
P100335,1/25/2014,Low,Orange
P100336,1/25/2014,Low,Ventura
P100337,1/25/2014,Low,San Bernadino
P100338,1/25/2014,Medium,Ventura
P100339,1/25/2014,Medium,San Bernadino
P100340,1/25/2014,High,Orange
P100341,1/25/2014,Low,Riverside
P100342,1/26/2014,Low,Riverside
P100343,1/26/2014,Low,San Bernadino
P100344,1/26/2014,Medium,Riverside
P100345,1/26/2014,Medium,Los Angeles
P100346,1/26/2014,High,Los Angeles
P100347,1/26/2014,High,Riverside
P100348,1/26/2014,High,Ventura
P100349,1/26/2014,Low,Los Angeles
P100350,1/26/2014,High,Orange
P100351,1/26/2014,Medium,San Bernadino
P100352,1/26/2014,Low,Ventura
P100353,1/26/2014,Medium,San Bernadino
P100354,1/27/2014,High,Riverside
P100355,1/27/2014,Low,Orange
P100356,1/27/2014,Medium,Los Angeles
P100357,1/27/2014,High,Orange
P100358,1/27/2014,Low,Los Angeles
P100359,1/27/2014,Medium,Orange
P100360,1/27/2014,Medium,Riverside
P100361,1/27/2014,Medium,San Bernadino
P100362,1/28/2014,Medium,San Bernadino
P100363,1/28/2014,Medium,Los Angeles
P100364,1/28/2014,High,Ventura
P100365,1/28/2014,High,Los Angeles
P100366,1/28/2014,High,Los Angeles
P100367,1/28/2014,High,Orange
P100368,1/28/2014,Low,San Bernadino
P100369,1/28/2014,Medium,Los Angeles
P100370,1/28/2014,High,San Bernadino
P100371,1/28/2014,Medium,San Bernadino
P100372,1/28/2014,Medium,Ventura
P100373,1/28/2014,Medium,Orange
P100374,1/28/2014,High,Orange
P100375,1/28/2014,High,Los Angeles
P100376,1/28/2014,Low,Los Angeles
P100377,1/29/2014,High,San Bernadino
P100378,1/29/2014,Medium,Los Angeles
P100379,1/29/2014,Low,San Bernadino
P100380,1/29/2014,High,Los Angeles
P100381,1/29/2014,Low,San Bernadino
P100382,1/29/2014,Low,San Bernadino
P100383,1/29/2014,High,Los Angeles
P100384,1/29/2014,High,Orange
P100385,1/29/2014,Low,Orange
P100386,1/29/2014,Low,San Bernadino
P100387,1/29/2014,Low,Riverside
P100388,1/29/2014,Medium,Riverside
P100389,1/29/2014,High,Los Angeles
P100390,1/29/2014,High,Ventura
P100391,1/29/2014,High,Ventura
P100392,1/30/2014,High,Los Angeles
P100393,1/30/2014,Medium,San Bernadino
P100394,1/30/2014,Medium,Riverside
P100395,1/30/2014,High,San Bernadino
P100396,1/30/2014,Medium,Los Angeles
P100397,1/30/2014,Low,Los Angeles
P100398,1/30/2014,Medium,San Bernadino
P100399,1/30/2014,High,Orange
P100400,1/30/2014,Medium,Los Angeles
P100401,1/30/2014,High,Los Angeles
P100402,1/30/2014,High,Riverside
P100403,1/30/2014,Low,San Bernadino
P100404,1/30/2014,Medium,San Bernadino
P100405,1/30/2014,High,San Bernadino
P100406,1/30/2014,Low,Riverside
